Tweet,Account Name,Profile,Created At
"フリーランスでも似たものを感じていたな。
営業活動に熱心なフリーランスさんって割と本業が……、本業がナイスな人は営業活動とか”余計なこと”をやっている暇がなくなってた。業務を絞って自ら特化する人もいるけど、求められることが絞られていって周りに特化させてもらえる人もいる https://t.co/iDpalsBX8P",sacanaace,スキなものだけ、ステキなものだけ。ケラケラとケセラセラ。音楽、映画、バイク、ボードゲーム、写真好きのロシア人だと思ってる日本人編ロシア集者。論争しませんユーウィンです。フォローするだけ無駄です。乗機は2008年空冷スラと2015年Ace125。アイコンは三匹のおさかなです。三匹目は見つけられました？,2025-03-18T07:23:29.000Z
"フリーランスになる前の最大の不安。

それは、営業が苦手すぎることでした。

1文字0.1円、0.4円、1.5円…
副業時代「実績が増えれば単価は上がるはず！」
そう思って必死に記事を書き続けたけど、月5万円で頭打ちに。

でも、あるときトップセールスマンの夫に言われたんです。↓",suyamayuzu,フリーライター｜SEO・取材・Kindle代行・サポート｜ジャンル:地域・旅行・金融・子育て・ライフスタイル｜Amazon売れ筋&ベストセラー1位｜note50PV｜FP2級・旅行業務取扱管理｜5歳1歳の母｜#ものキャン6期｜子どもにおかえりが言える働き方を,2025-03-18T07:21:06.000Z
"@rey_kks74 ありがとうございます💕🎉
確かに…確かに、良縁を今まさに欲しているところです（フリーランス的な意味で。笑）！！
企業さんに向けて営業するイイきっかけになるお言葉ありがとうございます！",K256tb,"20↑yo/ illustrator
二次：BBBスミイサ
実績：「鬼神ブレイド」で３キャラ担当etc
skeb➡https://t.co/PmYq9PKgOq 
VGen➡https://t.co/CyFsMGf7XE
portfolio➡https://t.co/dFLhd7P9d5",2025-03-18T05:39:47.000Z
"📣インスタフォロワー販売中！📣

\\アカウントの集客サポート致します//

✔︎フォロワー販売
✔︎高品質フォロワー
✔︎PayPay払い

お気軽にDMまたはリンクの公式LINE📱まで💌

https://t.co/LNIkc6Lps2 https://t.co/LNIkc6Lps2

#フリーランス #フォロ爆 #営業 #メンズエステ",5kyoruichi4309,【SNS発信者向けのコンテンツを販売🌈】販売歴3年以上✨ X（Twitter）／Instagram／YouTube／TikTok｜PayPay払い｜減少補償有り｜通常24時間以内に増加開始🔥｜詳細は固定ツイートをご確認ください✨｜ご相談、ご依頼はDMまたはLINEにお問い合わせください⭐️,2025-03-18T05:36:34.000Z
"綺麗なホテルだった！
また行きたい👍

#副業探しています #副業始めました #ビジネス #フリーランス #投資 #AI副業 #ブログ #コンテンツ #コンテンツビジネス #マーケティング #営業 #アフィリエイト #snsマーケティング #sns運用 #資産形成 #資産運用 #融資 #案件 #フォロー #相互フォロー #旅行好き",SA7Pmd0lMi11642,"愛知/26歳/旅行好き✈️毎月、毎年旅行いく！
AI副業勉強中",2025-03-18T04:34:00.000Z
"このポストはこんな仕事もやってますよーというフリーランス仕事の営業も兼ねたものですので、すみませんが収録曲などについてのご質問のリプ、引用ポストには答え出来かねます。(そのための発売元リンク付です)   
仕事のオファー、お問合せは大変有難いです。  
よろしくお願い申し上げます",micktk,"ヘッダー=企画制作の2/5発売CD BOX/バップ勤務時は芸能系と映像宣伝~制作 バップでの制作CD→https://t.co/4lWCuCRrmp 現在フリーでCD,DVD,書籍企画制作/過去イベント昭和アイドルアーカイブス,ハロプロショップでハロショトーク/FMレギュラー出演中/雑誌 昭和40年男",2025-03-18T03:59:02.000Z
"このポストはこんな仕事もやってますよーというフリーランス仕事の営業も兼ねたものですので、すみませんが収録内容などについてのご質問のリプ、引用ポストには答え出来かねます。(そのための発売元リンク付です)  
仕事のオファー、お問合せは大変有難いです。 
よろしくお願い申し上げます",micktk,"ヘッダー=企画制作の2/5発売CD BOX/バップ勤務時は芸能系と映像宣伝~制作 バップでの制作CD→https://t.co/4lWCuCRrmp 現在フリーでCD,DVD,書籍企画制作/過去イベント昭和アイドルアーカイブス,ハロプロショップでハロショトーク/FMレギュラー出演中/雑誌 昭和40年男",2025-03-18T03:53:54.000Z
"このポストはこんな仕事もやってますよーという音楽業界などへ向けたフリーランス仕事の営業も兼ねたものですので、すみませんが収録内容などについてのご質問には答え出来かねます。(そのため発売元リンク付きです) 
仕事のオファー、お問合せは大変有難いです。
よろしくお願い申し上げます",micktk,"ヘッダー=企画制作の2/5発売CD BOX/バップ勤務時は芸能系と映像宣伝~制作 バップでの制作CD→https://t.co/4lWCuCRrmp 現在フリーでCD,DVD,書籍企画制作/過去イベント昭和アイドルアーカイブス,ハロプロショップでハロショトーク/FMレギュラー出演中/雑誌 昭和40年男",2025-03-18T03:44:58.000Z
"＞RT
フリーランスになってからよくある事として可視化された。営業はクソ",lemo_rin,インターネット・ツチノコ,2025-03-18T03:12:04.000Z
"今更ながら
営業力が乏しいおいらは
フリーランスは難しいなと思い始めた💦
なんやかんやのもやもやを吹き飛ばすために

温泉➡️サウナ➡️水風呂
  ⬆️                          ⬇️
休憩⬅️岩盤浴⬅️休憩

を1時間半かけて整えた
そして後のコレ😆
せっかくのデトックスとコレで台無しな気もするが… https://t.co/f9NkgQH2Fp https://t.co/lEdzky99vG",nobutomitsu,のほほんとした生活を心がけ、自分の心の静寂を手に入れたいと思っているシステム屋のおぢさん。共同ブログMuraGaruの管理が最近のライフワーク💻素人おぢさん料理でストレス発散✨イーヨーをこよなく愛し、パソコンに夢中⌨️なんです。最近副業で介護業界のお手伝いもはじめました,2025-03-18T02:58:42.000Z
"Webデザイナーでフリーランスで働くために登録し得べきエージェント固定にしてます
自分で仕事探して営業かけてたりしてたらしごとがとぎれることもあるけどエージェントつけてたらまずそれがないので会社に属さずしっかり収入増やせるのがメリット
週3労働で会社員時代よりも収入あがりました",CWqazk9,"腰痛持ちのフリー歴4年目のWebデザイナー兼イラスト業も趣味程度にやってます
フリーターしつつなんとなくクリエイティブ職に就きたいと思って制作会社で4年実績を付いて現在フリーのWebデザイナーに落ち着いてます
筋トレ2年目ダイエットとボディメイク
tstBB11/27",2025-03-18T02:28:41.000Z
フリーランスにも同じことが言えて、まさにこれを自身に置き換えてサービスや営業活動を考えてほしい。案件受注は営業力でニーズの掘り起こしもできるが、タイミング的な要素も多い。クライアントの”欲しいタイミング”で「脳内1位」を取れる立ち振る舞いを。 https://t.co/4TuBW41KxF https://t.co/TWzO8q7HAy,takayu_29,”ビジネス戦闘力”を爆上げするリアルを発信｜参加者130名越えのコミュニティ運営｜創業80年企業のPR統括MGR｜上場企業2社のSNS運用｜コンサル生3か月で751万成約｜支援企業50社以上｜受託→＠rebau_29｜営業手法やクライアントワークの一次情報を収集・発信｜紹介で溢れる本質の営業術｜サポート実績はハイライト,2025-03-18T02:16:10.000Z
"悪いパターンの話をすれば、

搾取されたことしかないSESマンやフリーランス、SES営業が、自身の先行きに不安を感じており、起業によって解決しようとした。

しかし、手段は『搾取』しかしらないので、前職の搾取構造を模倣した。

なーんて、腐るほどある話だからね。",WjgotINrU14Z1fB,"プロフィールのリンクは、過去にあげたWantedly記事のまとめへのリンク。
・ITの業界研究したい人向けの話
・キャリアパスの話
・IT業界の歴史とかの話

あとはBAMVへの応募を検討している人向けの記事
などなど。

ちな、さいきんひっこした。",2025-03-18T01:41:05.000Z
"サラリーマンが副業する時も、独立してフリーランスになる時も一番苦労しがちなのは【営業】です。
どれだけ広告運用スキルがあっても仕事がなければ意味がないので営業が超重要。
仕事が取れないので消えていく広告運用者を何人も見ました…… https://t.co/2nSJ07KpXs",mine_ad1011,【知識0から広告運用者になれる方法を発信中】手取り18万円会社員が副業で広告運用開始▶未経験から初月で月収15万達成▶3ヶ月で月収50万円突破▶フリーランスに転向しノマド女子に｜広告運用サポート実績は20社以上｜旅先✈️でもできる再現性の高い広告運用ノウハウをお届けしています,2025-03-18T01:30:00.000Z
"個人事業主と法人とじゃ頭の使い方が全く違う。
そして反省。

受託を回しているだけではフリーランスと一緒なので、新規営業との比重を変えていかねば。

当面の間は「経営者じゃないとできない仕事」を意識します。
・人と会う
・人に任せる
・予算を決めて決断する",ningen_1226,"1998年生まれ｜埼玉大学｜起業家さんと繋がりたい｜本当の起業プロセスを発信｜少しずつ情報を開示します｜1年目は売上2,000万円目標｜超速で億を目指します",2025-03-18T01:03:13.000Z
"フリーランスになって気づいたこと。
営業も、経理も自分でするということ。
営業苦手な私だから描けるnoteはじめました。
https://t.co/mAcP0IWggn",aoinote_creator,フリーランスデザイナー｜フリーランス歴5年｜既婚 営業なしで会社員時代の収入を超えたリアルを発信中。 ご縁と信頼が巡る働き方で、仕事も報酬も自然とアップデート,2025-03-18T00:42:07.000Z
"フリーランスでは自分自身がブランドであり営業から契約、フォローアップまで全てを一人で回す必要がありますからね。
会社の営業マンとは全然ちゃいます。",shimachaan_,MHA1期生 動画編集者｜副業経験発信｜愛妻家｜4歳の息子と双子の赤ちゃんのために稼ぐ父 ｜育児休暇中｜仮想通貨NFT,2025-03-18T00:09:00.000Z
フリーランスでの営業は難易度がまったく別次元です。会社員として営業をバリバリこなしていても、会社の看板やチームのサポートがなければ無力です。,shimachaan_,MHA1期生 動画編集者｜副業経験発信｜愛妻家｜4歳の息子と双子の赤ちゃんのために稼ぐ父 ｜育児休暇中｜仮想通貨NFT,2025-03-18T00:09:00.000Z
"ヒトデさん（@hitodeblog）の新作を読了しました。
これからスタートを切りたいフリーランス、士業には非常におすすめです。

【こんな方におススメ】
・フリーランスとして営業活動とは何から始めたらよいかわからない
・現在新規顧客開拓に悩んでいる
・影響力を付けたいと考えている… https://t.co/ZzI0GfBWny https://t.co/mGx3OaIs1V",minogita,中小企業診断士 9年目 AI士業kindleamazonランキング3冊連続1位獲得 800社超事業計画策定に従事 2児の父 YouTubeチャンネル→https://t.co/lJJkaK6Ceb,2025-03-17T23:54:23.000Z
"エンド営業には2種類ある

①制作会社と同じ、開発のみを受注
②月額＋開発で「Webなら〇〇さん」の位置付け

②は企業と深く付き合うので
自由なフリーランスを目指すならオススメ

・月額契約で収益安定
・営業しなくても「ホームページもお願いできますか？」と声かかる

これ最強じゃない？",takalabo_0703,"フリーランスでも自分で案件を獲得するノウハウを発信 / 総理大臣も通う超高級料理店で修行→うつになり1年半で挫折→地元で飲食店店長→寝る以外働く→制作会社のエンジニア→Webコンサルで独立 / 人口5,000人の田舎、家庭持ち、営業未経験でも年商2,000万円を達成 / 自分で案件を獲得する個別コンサルをやっています",2025-03-17T19:38:24.000Z
"#WordPress
（うちもフリーランスですけど）フリーランスにサイト制作を依頼した結果、連絡が取れなくなるトラブルをよく聞く。
傷病で連絡が取れないのではなく、他社向けに営業活動はしていて、余計にクライアントが怒る。
安いから依頼してみようという安易な判断は避けたほうが無難。",MKP3share,"EC関連ノウハウ、フリーランスの独り言投稿。
ECコンサルや業務改善のご相談は🐸DMからお願いします。
⚠固ツイに実績
➡ECサイト制作運営サポート+改善
SEO対策・マーケティング
Python・VBA
情報セキュリティマネジメント試験合格
業務改善
#フォロー歓迎
#日本酒アドバイザー
機械学習kaggle銅1",2025-03-17T15:43:11.000Z
"AIビジネスを展開しましょう！

「【警告】5年後、”普通の仕事”はAIに奪われる？」

AIの進化で、今の働き方は大きく変わる…

🚀 5年後の世界👇
✅ AIが営業代行 → 営業職の7割が不要に？
✅ AIが動画編集 → フリーランス動画クリエイター激減？
✅ AIがカスタマーサポート →… https://t.co/9veBKHjkA3",otonanomanabi_7,AI副業ビジネスを紹介！これまで塾生の75%の方を、ゼロから商品作成〜販売開始まで導いた実績。AI副業を始めたいあなたに、新たな挑戦と成功のためのAIを活かした情報商材販売ビジネス、マーケティング戦略、実践的アドバイスをお届け！ 是非フォローして受け取ってください。,2025-03-17T13:59:28.000Z
"スクール同期の方の投稿でNegiさんのことずっと気になっていたので今回参加させていただきました。

デザイナーとしての転職活動も上手く行かず…フリーランスとしての営業も上手くいかず…落ち込んでいましたが、改善することだらけで､伸び代しかない！と前向きになれました！ありがとうございます。 https://t.co/ehFbDPYZtt",romeo2020321,〚DesigNU（デザイヌ）＝デザイン×イヌ〛 #愛犬との絆をデザインに 🐾ウチの子グッズ🐾アパレル🐾広告(バナー/チラシ/ポスター) お気軽にDMでお問い合わせください😊 売上の一部は盲導犬や保護犬施設に寄付します｡ #24FebClass #fammスクール コミュニティ枠受賞🏅,2025-03-17T13:50:44.000Z
"今日したこと↓ 
✅クラウドソーシングでの案件応募
✅ インスタのDM営業

今日の案件応募、目標件数達成✨🎉
すぐに成果が出なくとも、
今は目の前のことを1つずつ積み上げていきます！！！

#lilisコンサル
#フリーランス",_ayumi_design,"【美容サロン・女性起業家を応援するWEBデザイナー】 バレエ歴10年以上｜
広告代理店でのWebデザイナー経験｜HP5件・LP5件・バナー50件以上制作🎨 
HP・LP・名刺・チラシ・SNS画像などの各種デザイン対応✨
 📩無料相談受付中！DMにて「無料相談」とメッセージをお願いします🐄",2025-03-17T13:43:16.000Z
"フリーランスになり会社員辞めましたー的な広告やめて欲しい
その技術があったとて営業できんと仕事は降ってこないゾ
ましてや田舎にそんな案件転がってるわきゃない
どうやったらフルリモートで働けるの？て相談されたのだが働く環境がそれなだけなんだよなぁ
目的と手段を混在させたらあきまへんで",kikimemebb,‘92｜24/08/27｜35w5d｜経膣分娩で3060gの男児出産｜先天性食道閉鎖症C型｜合併症なし｜翌日根治術｜28wで羊水過多指摘され消化器閉鎖疑い｜妊糖なし｜AFI最大32｜胃泡サイズ普通｜羊水穿刺&管理入院なし｜NIPT検査済み｜胎児MRI｜9/22生後26日で退院｜バルーン拡張術1回｜薬5カ月で終了｜,2025-03-17T13:29:12.000Z
"【資金繰りの悩みファクタリング一括申請で解決】💰

📊こんな方にオススメ📊
中小企業の経営者 フリーランスで仕事を受けている方（Webデザイナー ライター コンサルタントなど）
営業や経理担当者
建設業や製造業 IT業界で支払いサイトに悩む企業

🚀無料診断で解決へ
[PR]
https://t.co/2rRCQvNdcJ",amicho_loloc,"ドライブ、車、旅行好き。
ガーデニングやカフェ巡りで心を癒してます。
ワンコ乗せてドライブが好きです♡
怪しい人以外はフォローいいねお待ちしてます(*'ω'*)",2025-03-17T13:20:00.000Z
"人手不足が深刻なのかそれともスーパーセールス探してるからなのかは知らんけど、普通の法人営業のフリーランスに最低稼働単価￥4000/1H以上は最低払う会社
もちょこちょこ見かける様になってきたね",CS20220330ryo,"現在カスタマーサクセスと営業(ポストセールス)
日々多くの方から学ばせて頂き、業務に還元出来るよう頑張ります！

＜キャリア＞
多種多様な業界で10年新規営業/既存営業として務めた後HR領域のCSMへ
既存向けの営業経験長め
CSMで入社するも現在は組織体制の都合でCSMと新規営業兼任",2025-03-17T12:00:36.000Z
商談後のアフターフォロー忘れていませんか？初回商談から3日後に送るメールをAIが考えてくれます。結音さんの「営業で使えるプロンプト100選」に全てが詰まっていました。全社会人かフリーランスに受け取って欲しい。 https://t.co/6gGXKkVLWV https://t.co/McxoZTsdbx,SuzukiKenzo_,Sooon㍿ 執行役員｜営業で地方を回り中小企業を盛り上げます｜地方特化のWebマーケ支援 ← NEC ← 東工大｜ガタガタ言わずに挑戦あるのみ｜ガタさんと呼んでください！,2025-03-17T11:21:57.000Z
制作会社とかに営業メールしまくるのもいいけど、フリーランス仲間からの案件のお声かかったりもあるから、横のつながりを増やしておくのもありですよ。,ppmp65,"福島県地方在住フリーランス｜5年目コーダー×メディアライティング＋LPデザイン｜ZeroPlusMedia技術記事執筆 | 提唱者（INFJ-T）
お仕事のご相談はXのDMでもOK
Web制作ブログ：https://t.co/Wzp3UwyKHP
ポートフォリオは固定ツイ",2025-03-17T10:20:36.000Z
【フリーランスの営業・セールス】売れるチラシを自分で作れる講座！　ストアカで開催中です😀 https://t.co/1rwgtUVutB,noiekumagaiinfo,デザインとマーケティングを活用し、集客や売上向上をご支援しています。@kumagaijunichi の告知用アカウントです。中小企業、個人事業者や副業・起業する方に向けたセミナーの開催などのお知らせを中心にツイートします。,2025-03-17T09:49:58.000Z
"📢 フリーランスの収入は「作るもの」！
✅ 複数の収入源を持つ
✅ 高単価案件を獲得する
✅ 長期契約を増やす
✅ 営業活動を仕組み化する
フリーランスの安定収入の秘訣を解説👇
📖 https://t.co/2oVr0EgHSW
#フリーランス #キャリア #転職 #仕事術",yabiku_junpei,"インサイドセールス経験を武器に、Career ArtのCGOとして活躍中。
成長戦略、人材育成、新規事業開拓を推進し、企業と人材の成長を全力支援しています。沖縄・石垣島出身、筋トレ好きです！
※ここでの発言は個人の見解であり、勤務先の公式見解ではありません。",2025-03-17T09:07:13.000Z
"営業できるのならフリーランスになってもいいと思うけれど、そうではないのなら早まらない方がいい。

今は特定の受注先から継続的に仕事を請け負っていたとしても、そこに依存している状況だとしたら、綱渡り状態。… https://t.co/kV7nzeb0tY",yoritenshoku1,会社員脳を起業家脳に変えるための考え方を発信｜SNSアフィリエイト✖️仕組み化で副業収益6桁を継続。独立・起業に向け、副業で複数事業を構築中(ビジネスコミュニティ、異業種交流イベント、モデル事務所)｜会社という縛られた組織から抜け出して、誰にも縛られない自由な働き方へ導きます｜関西在住/37歳,2025-03-17T08:00:01.000Z
"@naka1031p いいね👍ありがとうございます！

＜無料セミナー申込はこちら＞
https://t.co/vHB5D1ijor

今回のセミナーは2夜連続開催で、
①営業の常識が変わる『AI×営業』ノウハウ
→3月15日(土)21:00-

②フリーランスの高単価受注ロードマップ
→3月16日(日)21:00-

どちらか一方の参加も可能です！… https://t.co/s047b4juVR https://t.co/upUUUJiC4t",Yuito_Kuroyama,AIを愛するSooon㍿の取締役COOです。副業会社員やフリーランス向け営業スクール『WSSクラス』を運営していマッスル。趣味は筋トレ、特技はベンチプレス、好物はダンベルとプロテイン。よろしくお願いしマッチョ。,2025-03-17T07:28:58.000Z
"同じSES業界でも「未経験採用は上手くいっても育てても育てても離職されてしまう」「経験者採用は競合が多すぎる」「フリーランスと正社員でカルチャーマッチしない」「インフラはAIに駆逐されそうだし開発は営業が大変になる」などなど

各社ともに課題は尽きないものだなぁ…",hukkatuno_k,株式会社ギグー Founder / 株式会社スカウティアン / 株式会社ピークコード / IT連続起業家 / MediaTechSolutions投資会社経営 / ハンズオンVC / エンジニア歴19年 / 受託 高還元SES / グループ年商5億,2025-03-17T06:24:18.000Z
"フリーランスが失敗する真実

アダアフィや猿でも出来る事で
満足して、生活水準を上げて、ゴミ生活を送る。これが原因でオワコン化

マーケも組めず、営業も出来ない、
その程度のスキルなら人生詰むから
労働しろ

猿でも出来る事で満足すな
お前にしか出来ない事を探せ",kaichoo_afi,『金だ...金を稼ぎたいなら、貴様もこちら側に来るのだ...！勝ち組の世界へ...！』✌︎収入の柱を1⇨4へ増やした男|最短で稼げる戦略を発信|,2025-03-17T04:34:30.000Z
今、フリーランス系中心のエージェントって、経営がやばいんじゃないかと思ってる。はっきりと教えてくれないんだが。先日もあるエージェントで営業マンが突然辞めた。内部事情がわからない。入ってくる案件が極端に少ないらしい。やはりフリーランス法の影響で上部はフリーランスを制限してるのか？,erika_angel2024,60歳のトランスジェンダーで、ロリィタファッションを愛するブロガーおよびYouTuberです。普段はロリィタファッションを楽しみながら生活し、仕事の時はシステムエンジニアとして男性として働いています。反SDGs、移民反対。I am against immigration policy.戦争反対!! NO WAR!!,2025-03-17T04:17:00.000Z
"いくつ知ってる？
フリーランスが稼ぐための公式【チェックリスト】 

✅ 手元に残るお金
✅ 必要な仕事量
✅ 営業の成功率
✅ 効率的な時間の使い方
✅ 1人のお客様からの総売上

特に駆け出しさんには感覚派が多い印象です。
なんとなく働いていると、なんとなく手元にお金が残らない🥲… https://t.co/WHrnbg1Z0s https://t.co/tmtvf6vmUZ",websae2012,フリーランスを推し上げます｜web制作16年目｜海外ノマドを経て今はマレーシアにて妻と穏やかに暮らしてます（MM2H持ち）|セミFIRE,2025-03-17T03:48:53.000Z
"@MotoyasuYamada 単価連動制、案件選択制のSES企業とは相性いまいちですな…営業内で優秀なエンジニアの取り合いになる未来が見えます
BPやフリーランスの粗利ベースならしっくりきますｗ",IT21592349,テクニケーション代表取締役｜あたらしい実力主義を、みんなに。｜エンジニアの誰もが自分の市場価値を知っている未来をつくる。｜エージェントグロー社外取締役｜https://t.co/ggChmQdTsL｜https://t.co/RKCbbqnDIk｜https://t.co/ezzwHeTsmo,2025-03-17T03:07:10.000Z
"フリーランスの罠
「フリーランスは実力主義？嘘です」

✔ 高単価なのに実力微妙な人 → 営業と人脈が強い
✔ 技術力高いのに安い人 → 売り込み下手、交渉しない
✔ 実力あって高単価の人 → ちゃんと戦略を持ってる
スキルだけじゃ食っていけない。ビジネス視点がないと搾取される。",pt_kokoro,"IT業界の市場動向＆エンジニアキャリアパスについて学びたい方へ｜業界トレンド,スタートアップニュース,エンジニアキャリアパスについて毎日発信✉️｜株式会社Branding Engineer（RAチームリーダー）→ROSCA株式会社1人目営業｜ITエージェント業界の闇を赤裸々にぶっちゃけます🔥|キャリアの相談はDMへ",2025-03-17T02:30:06.000Z
"副業ライターで結果を出すために頭の良さは不要。
重要な要素は
・スケジュール管理
・毎日必ず1記事は書く意志の強さ
・絶えず営業をする力
・社会人としてのマナーがある
・レスポンスの早さ
・モチベーションで仕事しない
・ゾス

#フリーランス
#webライターと繋がりたい
#副業",watanabesatosi7,元メガバンク行員11年勤務｜副業ライティングで毎月50万円稼いでいるノウハウを発信｜フォローすると本業以外の収入源が手に入ります｜投資大好き｜#投資｜毎月50万円積立投資,2025-03-17T01:57:00.000Z
"【フリーランス向け営業代行の比較記事を公開！】

この記事では、フリーランス向け営業代行を
✅アプローチ業務特化型
✅ハウスリスト活用型
✅ハウスリスト活用型
で分けて、それぞれ詳しく解説しています。
是非参考にしてください！

詳細はこちら👇
https://t.co/vutsW3q2l4",cone_kumamoto,"BPOサービス比較サイト「b-pos」の最新情報をお届けします！

掲載をご希望の企業様は以下リンクよりお問い合わせ下さい。",2025-03-17T00:40:26.000Z
"心がけてること

クオリティを「顧客が語りたくなるレベル」
に引き上げる

ただ高い品質にするのではなく
顧客が「これ、他のフリーランスじゃやってくれないよ」

と自然に人に話したくなるほどの
圧倒的な仕上がりを目指す。

そんで営業しなくても口コミで勝
手に広がる仕組みを作る。… https://t.co/nre9hK2ZRO",YumaUda,"【闇堕ちしている人を光へ這い上がらせる】

コーディング ▶︎ 最高月収170万円▶︎ 離婚問題でうつ病 ▶︎ 地の底から着実に積み上げ「一つずつ丁寧に」人生を変えた男の物語☟☟☟",2025-03-17T00:25:59.000Z
"【明日から通常営業】
3/18（火）から、はこカフェ通常営業再開！
出張を経て、改めて感じたのは「環境が整ってることの大切さ」。
 上大岡の""ちょうどいい作業場""、ここにあります。
ぜひ、ふらっと立ち寄ってください！
#コワーキング #上大岡 #横浜 #仕事ができるカフェ #フリーランス #勉強の環境",shuhei_startup,自動車業界 → IT学習コンテンツ制作＆SNS運用 (継続中)→ コワーキング運営｜講師業｜上大岡で「はこカフェ」準備中｜仕事＆勉強できる場をつくる｜ゆくゆくは交流会を企画し、人が繋がる場所に！ 📌 詳細は固定ポストへ,2025-03-16T23:32:00.000Z
"おはようございます。
今週は木曜日が休みですね！

うちのデザイナーは売上主義なので
営業日が1日少ないと焦ります。

会社員だけど、
フリーランス感覚で戦ってるので
みんな意識が高いです。",st_isida,GOOD CREW（株式会社ステア）｜口ベタなデザイナーが間違って経営者になったタイプ ｜デザイナー27年、経営17年 ｜ 会社経営・マーケ・子育てを勉強中 ｜識学組織｜ 兵庫県出身 ｜ 週1でテニス ｜ 45歳で第二子 ｜ 75歳で早期リタイアを目指す ｜40代デザイナーが将来も活躍できる職場作り,2025-03-16T23:00:02.000Z
"「営業が苦手…」な方でも、
実践しやすい内容をお話してます！
#フリーランス #営業戦略 #仕事の取り方

https://t.co/mFky2Yo59T",nanat_anna,きっかけ次第で人生は変わる。一緒に作戦会議しませんか？｜実践アイデアを文字と音声で発信｜ポジティブ×習慣化を毎日投稿｜クラウドワークス「SNS運用講座」監修・講師｜会社員歴14年▷未経験ジャンルで独立｜SNS総フォロワー5.5万人｜合同会社Simple代表｜84’成田市出身｜福岡移住12年目｜🏍 @anna250r,2025-03-16T22:50:54.000Z
"性風俗特殊営業の業務委託先の募集には特段の制限はないが、個人事業主との契約で現在はフリーランス新法の制限あり職業安定法を援用される可能性もありえる。
顧問弁護士と相談でしょうが、店舗型/無店舗型性風俗特殊営業〇号営業店で届出済であること、書面契約、支払条件の明示等で募集ですかね？",e4lovelove,ごく普通のおじいちゃん情報収集垢。一期一会。諸行無常。足腰が弱まりそろそろお迎えが来そうなのでお手柔らかに。臆病者なので不穏な動きを注視。春節、国慶節とその前後は健康のため実体化しません。客も性病検査を。,2025-03-16T21:19:17.000Z
"【副業ブログで独立してフリーランスになってみて】

18歳で営業職に就職。
飛び込み営業がメインで、1日100件以上まわる日もあった。

売上を上げれば給料も上がるが、その分時間はどんどんなくなる。
「稼げるけど、時間がない」
この状態に違和感を感じていた。… https://t.co/ncj7tW4z7T",jitan_family,💻️副業時間を増やす時短ノウハウを毎日発信｜👫 30歳の共働き夫婦｜もうすぐパパママ｜👨 → 副業ブログ＆SNSで独立｜👩→ ITベンチャー×副業サイト制作で月10万｜👶 娘（もうすぐ誕生予定）｜フォローすると共働き子育て世帯でも本業を辞めれるくらい副業時間が確保できます↗️,2025-03-16T21:00:00.000Z
複数のフリーランスのデザイナーから数千円くらいのギャラでデザインをかき集めて提案数稼いでクライアントにプレゼンして納品するようなカスみたいな業者とか営業停止になればいいのにね。,hhhaaatttoooppp,,2025-03-16T18:09:37.000Z
"会社勤め無理となったらフリーランスか自営なんだろうけど
コミュ障が出来ることなんて会社勤め以上になんもないぞ
自分をプロデュースする事営業をかける事人脈を作る事
どれも壊滅的に向いてない
さあ困った詰んだぞ
素材イラストだって全然請求力無いしこんな長期間SNSさわってんのにまるで虚無",KANNA_NEKO,MP100原作強火勢、相談所エクボは霊体がマスト、原作CP以外のCP化不可ジャンルの主流悉く圏外の蛸壷二次創作者。xfolioに引越し中 https://t.co/6x12SGieIn 【無断転載・素材使用・自作発言不可・AI学習禁止】,2025-03-16T15:49:39.000Z
